reference,value,footprint,manufacturer,manufacturer_part,supplier_number,physical_pin,pin_function,pin_type,connected_net,functional_block,model_category,model_file,model_subcircuit,model_terminal_order,model_confidence,simulation_status
D12,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,2,A_2,passive,Net-(D12-A),miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D13,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,1,K_1,passive,Net-(D12-A),miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D13,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,2,A_2,passive,GNDREF,miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D14,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,1,K_1,passive,VDD,miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D14,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,2,A_2,passive,Net-(D14-A),miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D15,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,1,K_1,passive,Net-(D14-A),miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D15,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,2,A_2,passive,GNDREF,miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D16,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,1,K_1,passive,VDD,miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D16,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,2,A_2,passive,Net-(D16-A),miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D17,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,1,K_1,passive,Net-(D16-A),miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D17,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,2,A_2,passive,GNDREF,miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D18,TPD1E05U06DPYT,X1SON-2_L1.0-W0.6-P0.65-RD,TI(德州仪器),TPD1E05U06DPYT,C1847651,1,I/O_1,passive,Spike_Out,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D18,TPD1E05U06DPYT,X1SON-2_L1.0-W0.6-P0.65-RD,TI(德州仪器),TPD1E05U06DPYT,C1847651,2,GND_2,passive,GNDREF,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D19,TPD1E05U06DPYT,Maxime:X1SON-2_L1.0-W0.6-P0.65-RD-1,TI(德州仪器),TPD1E05U06DPYT,C1847651,1,I/O_1,passive,Stimulus_Ext,external stimulus,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D19,TPD1E05U06DPYT,Maxime:X1SON-2_L1.0-W0.6-P0.65-RD-1,TI(德州仪器),TPD1E05U06DPYT,C1847651,2,GND_2,passive,GNDREF,external stimulus,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D20,RB521S30T1G,Maxime:SOD-523_L1.2-W0.8-LS1.6-RD,onsemi(安森美),RB521S30T1G,C145179,1,C_1,passive,Spike_Pulse,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D20,RB521S30T1G,Maxime:SOD-523_L1.2-W0.8-LS1.6-RD,onsemi(安森美),RB521S30T1G,C145179,2,A_2,passive,GNDREF,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D21,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,1,K_1,passive,VDD,external membrane display/output,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D21,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,2,A_2,passive,Vm_Display_In,external membrane display/output,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D22,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,1,K_1,passive,Vm_Display_In,external membrane display/output,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
D22,BAT54WS L9,SOD-323_L1.8-W1.3-LS2.5-RD,CJ(江苏长电/长晶),BAT54WS L9,C22629,2,A_2,passive,GNDREF,external membrane display/output,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
H1,MountingHole,MountingHole:MountingHole_2.2mm_M2,,,,,,,,local decoupling,mechanical-only,,,,high,mounting hole; deliberately omitted electrically
H2,MountingHole,MountingHole:MountingHole_2.2mm_M2,,,,,,,,local decoupling,mechanical-only,,,,high,mounting hole; deliberately omitted electrically
H3,MountingHole,MountingHole:MountingHole_2.2mm_M2,,,,,,,,local decoupling,mechanical-only,,,,high,mounting hole; deliberately omitted electrically
H4,MountingHole,MountingHole:MountingHole_2.2mm_M2,,,,,,,,local decoupling,mechanical-only,,,,high,mounting hole; deliberately omitted electrically
H5,MountingHole,MountingHole:MountingHole_2.2mm_M2,,,,,,,,local decoupling,mechanical-only,,,,high,mounting hole; deliberately omitted electrically
H6,MountingHole,MountingHole:MountingHole_2.2mm_M2,,,,,,,,local decoupling,mechanical-only,,,,high,mounting hole; deliberately omitted electrically
J1,Stim_Ext,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,1,1_1,passive,Vm_Ext,external stimulus,connector or external terminal,,,,high,physical pins retained as external nets
J1,Stim_Ext,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,2,2_2,passive,Stimulus_Ext,external stimulus,connector or external terminal,,,,high,physical pins retained as external nets
J1,Stim_Ext,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,3,3_3,passive,GNDREF,external stimulus,connector or external terminal,,,,high,physical pins retained as external nets
J2,Axon_Output,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,1,1_1,passive,Vm_Ext,"threshold, AP, peak, reset and spike output",connector or external terminal,,,,high,physical pins retained as external nets
J2,Axon_Output,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,2,2_2,passive,Spike_Out,"threshold, AP, peak, reset and spike output",connector or external terminal,,,,high,physical pins retained as external nets
J2,Axon_Output,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,3,3_3,passive,GNDREF,"threshold, AP, peak, reset and spike output",connector or external terminal,,,,high,physical pins retained as external nets
J3,Syn1_Input,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,1,1_1,passive+no_connect,unconnected-(J3-Pad1),signed synapses,connector or external terminal,,,,high,physical pins retained as external nets
J3,Syn1_Input,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,2,2_2,passive,Syn1_Spike,signed synapses,connector or external terminal,,,,high,physical pins retained as external nets
J3,Syn1_Input,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,3,3_3,passive,GNDREF,signed synapses,connector or external terminal,,,,high,physical pins retained as external nets
J4,Syn2_Input,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,1,1_1,passive+no_connect,unconnected-(J4-Pad1),signed synapses,connector or external terminal,,,,high,physical pins retained as external nets
J4,Syn2_Input,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,2,2_2,passive,Syn2_Spike,signed synapses,connector or external terminal,,,,high,physical pins retained as external nets
J4,Syn2_Input,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,3,3_3,passive,GNDREF,signed synapses,connector or external terminal,,,,high,physical pins retained as external nets
J5,Syn3_Input,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,1,1_1,passive+no_connect,unconnected-(J5-Pad1),signed synapses,connector or external terminal,,,,high,physical pins retained as external nets
J5,Syn3_Input,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,2,2_2,passive,Syn3_Spike,signed synapses,connector or external terminal,,,,high,physical pins retained as external nets
J5,Syn3_Input,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,3,3_3,passive,GNDREF,signed synapses,connector or external terminal,,,,high,physical pins retained as external nets
J6,Syn4_Input,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,1,1_1,passive+no_connect,unconnected-(J6-Pad1),signed synapses,connector or external terminal,,,,high,physical pins retained as external nets
J6,Syn4_Input,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,2,2_2,passive,Syn4_Spike,signed synapses,connector or external terminal,,,,high,physical pins retained as external nets
J6,Syn4_Input,AUDIO-SMD_HX-PJ-320A-3P-DIP,hanxia(韩下),HX PJ-320A-3P DIP,C19189087,3,3_3,passive,GNDREF,signed synapses,connector or external terminal,,,,high,physical pins retained as external nets
L1,2.2uH,Maxime:IND-SMD_L3.0-W3.0_SMNR3015,APV(爱普微),ANR3015T2R2M,C6364793,1,1_1,passive,VDD,power and precision references,datasheet-derived electrical model,,,,medium,inductance plus DCR/parasitic capacitance; saturation checked numerically
L1,2.2uH,Maxime:IND-SMD_L3.0-W3.0_SMNR3015,APV(爱普微),ANR3015T2R2M,C6364793,2,2_2,passive,Net-(U7-SW),power and precision references,datasheet-derived electrical model,,,,medium,inductance plus DCR/parasitic capacitance; saturation checked numerically
Q1,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,1,G_1,passive,/AP_Gate,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q1,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,2,S_2,passive,GNDREF,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q1,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,3,D_3,passive,AP,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q2,MMBT3904,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,Hottech(合科泰),MMBT3904,C181119,1,1_1,passive,/Adapt_Base,miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,installed comparison model; portable fallback selected
Q2,MMBT3904,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,Hottech(合科泰),MMBT3904,C181119,2,2_2,passive,GNDREF,miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,installed comparison model; portable fallback selected
Q2,MMBT3904,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,Hottech(合科泰),MMBT3904,C181119,3,3_3,passive,/Adapt_Current_Sink,miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,installed comparison model; portable fallback selected
Q3,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,1,G_1,passive,AP,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q3,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,2,S_2,passive,GNDREF,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q3,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,3,D_3,passive,/Reset_Timer_Discharge,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q4,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,1,G_1,passive,Peak_Window,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q4,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,2,S_2,passive,GNDREF,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q4,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,3,D_3,passive,/Reset_Injection_Enable,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q5,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,1,G_1,passive,/Reset_Injection_Enable,miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q5,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,2,S_2,passive,/Reset_Injection_Drive,miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q5,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,3,D_3,passive,/Reset_Switch_Mid,miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q6,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,1,G_1,passive,Reset_Window,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q6,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,2,S_2,passive,/Reset_Switch_Mid,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q6,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,3,D_3,passive,/Reset_Gated_Drive,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q7,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,1,G_1,passive,Reset_Window,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q7,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,2,S_2,passive,GNDREF,"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q7,BSS138,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,onsemi(安森美),BSS138,C52895,3,D_3,passive,Net-(Q7-D),"threshold, AP, peak, reset and spike output",datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,portable fallback
Q8,MMBT3904,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,Hottech(合科泰),MMBT3904,C181119,1,1_1,passive,Net-(Q8-Pad1),miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,installed comparison model; portable fallback selected
Q8,MMBT3904,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,Hottech(合科泰),MMBT3904,C181119,2,2_2,passive,GNDREF,miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,installed comparison model; portable fallback selected
Q8,MMBT3904,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,Hottech(合科泰),MMBT3904,C181119,3,3_3,passive,Net-(Q8-Pad3),miscellaneous schematic support,datasheet-derived electrical model,models/portable/lifeling_portable_models.lib,,,medium,installed comparison model; portable fallback selected
R1,10Ω,JLCPCB:R_0402,FOJAN(富捷),FRC0402F10R0TS,C2906862,1,1_1,passive,Net-(U7-VOUT),power and precision references,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R1,10Ω,JLCPCB:R_0402,FOJAN(富捷),FRC0402F10R0TS,C2906862,2,2_2,passive,V_Boost,power and precision references,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R2,220Ω,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07220RL,C112291,1,1_1,passive,Vm_Out_DRV,external membrane display/output,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R2,220Ω,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07220RL,C112291,2,2_2,passive,Vm_Ext,external membrane display/output,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R3,10kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-0710KL,C60490,1,1_1,passive,Vm_FB,external membrane display/output,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R3,10kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-0710KL,C60490,2,2_2,passive,Vm_Out_DRV,external membrane display/output,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R4,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,1,1_1,passive,GNDREF,external membrane display/output,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R4,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,2,2_2,passive,Vm_FB,external membrane display/output,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R5,220kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07220KL,C138030,1,1_1,passive,VREF_1V024_RAW,power and precision references,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R5,220kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07220KL,C138030,2,2_2,passive,VREF_2V048,power and precision references,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R6,220kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07220KL,C138030,1,1_1,passive,GNDREF,miscellaneous schematic support,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R6,220kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07220KL,C138030,2,2_2,passive,VREF_1V024_RAW,miscellaneous schematic support,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R7,20kΩ,JLCPCB:R_0402,UNI-ROYAL(厚声),0402WGF2432TCE,C25765,1,1_1,passive,V_Threshold,power and precision references,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R7,20kΩ,JLCPCB:R_0402,UNI-ROYAL(厚声),0402WGF2432TCE,C25765,2,2_2,passive,VREF_1V024,power and precision references,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R8,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,1,1_1,passive,V_Threshold,membrane leak and integration,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R8,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,2,2_2,passive,GNDREF,membrane leak and integration,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R9,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,1,1_1,passive,VREF_1V024,power and precision references,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R9,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,2,2_2,passive,V_Reset_Ref,power and precision references,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R10,56kΩ,JLCPCB:R_0402,FOJAN,FRC0402F5602TS,C2906875,1,1_1,passive,GNDREF,miscellaneous schematic support,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R10,56kΩ,JLCPCB:R_0402,FOJAN,FRC0402F5602TS,C2906875,2,2_2,passive,V_Reset_Ref,miscellaneous schematic support,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R11,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,1,1_1,passive,VDD,miscellaneous schematic support,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R11,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,2,2_2,passive,V_Peak_Ref,miscellaneous schematic support,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R12,1MΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-071ML,C138033,1,1_1,passive,GNDREF,miscellaneous schematic support,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R12,1MΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-071ML,C138033,2,2_2,passive,V_Peak_Ref,miscellaneous schematic support,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R13,220kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07220KL,C138030,1,1_1,passive,V_Logic_Mid,miscellaneous schematic support,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R13,220kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07220KL,C138030,2,2_2,passive,VDD,miscellaneous schematic support,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R14,220kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07220KL,C138030,1,1_1,passive,GNDREF,miscellaneous schematic support,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R14,220kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07220KL,C138030,2,2_2,passive,V_Logic_Mid,miscellaneous schematic support,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R15,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,1,1_1,passive,Vm_Display_In,membrane leak and integration,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R15,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,2,2_2,passive,Vm_Int,membrane leak and integration,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R16,10kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-0710KL,C60490,1,1_1,passive,Net-(U20-NO),miscellaneous schematic support,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R16,10kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-0710KL,C60490,2,2_2,passive,V_Peak_Drive,miscellaneous schematic support,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R17,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,1,1_1,passive,VDD,membrane capacitance selector,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R17,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,2,2_2,passive,T4,membrane capacitance selector,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R18,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,1,1_1,passive,T4,membrane capacitance selector,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R18,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,2,2_2,passive,T3,membrane capacitance selector,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R19,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,1,1_1,passive,T3,membrane capacitance selector,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R19,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,2,2_2,passive,T2,membrane capacitance selector,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R20,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,1,1_1,passive,T2,membrane capacitance selector,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R20,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,2,2_2,passive,T1,membrane capacitance selector,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R21,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,1,1_1,passive,T1,membrane capacitance selector,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R21,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,2,2_2,passive,GNDREF,membrane capacitance selector,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R22,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,1,1_1,passive,VDD,membrane capacitance selector,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R22,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,2,2_2,passive,S0,membrane capacitance selector,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R23,1MΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-071ML,C138033,1,1_1,passive,T1,membrane capacitance selector,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R23,1MΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-071ML,C138033,2,2_2,passive,S0,membrane capacitance selector,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R24,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,1,1_1,passive,VDD,membrane capacitance selector,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R24,100kΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-07100KL,C60491,2,2_2,passive,S1,membrane capacitance selector,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
R25,1MΩ,JLCPCB:R_0402,YAGEO(国巨),RC0402FR-071ML,C138033,1,1_1,passive,T1,membrane capacitance selector,ordinary passive instantiated directly,,,,high,direct resistor with tolerance support
